date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:31	677/677	---M--	200	added ('OK')	text/javascript	date:Fri,%2015%20Apr%202022%2008:41:33%20GMT	https://cosmicdrifts.tech/_next/static/ZZVTWaKEArxweHaZbMA5R/_buildManifest.js	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/_next/static/ZZVTWaKEArxweHaZbMA5R/_buildManifest.js	(from https://cosmicdrifts.tech/)
11:41:32	134/134	---M--	200	added ('OK')	text/javascript	date:Fri,%2015%20Apr%202022%2008:41:34%20GMT	https://cosmicdrifts.tech/_next/static/ZZVTWaKEArxweHaZbMA5R/_ssgManifest.js	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/_next/static/ZZVTWaKEArxweHaZbMA5R/_ssgManifest.js	(from https://cosmicdrifts.tech/)
11:41:33	105979/105979	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Apr%202022%2008:41:34%20GMT	https://cosmicdrifts.tech/design/images/stars.0f67e22431027fdf.jpg	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/design/images/stars.0f67e22431027fdf.jpg	(from https://cosmicdrifts.tech/)
11:41:33	55952/55952	---M--	200	added ('OK')	font/woff2	date:Fri,%2015%20Apr%202022%2008:41:35%20GMT	https://cosmicdrifts.tech/design/fonts/magistral-cond-book.woff2	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/design/fonts/magistral-cond-book.woff2	(from https://cosmicdrifts.tech/)
11:41:34	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:36%20GMT	https://cosmicdrifts.tech/design/fonts/magistral-cond-book.woff	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/design/fonts/magistral-cond-book.14.delayed	(from https://cosmicdrifts.tech/)
11:41:35	35356/35356	---M--	200	added ('OK')	font/woff2	date:Fri,%2015%20Apr%202022%2008:41:36%20GMT	https://cosmicdrifts.tech/design/fonts/magistral-cond-medium.woff2	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/design/fonts/magistral-cond-medium.woff2	(from https://cosmicdrifts.tech/)
11:41:35	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:37%20GMT	https://cosmicdrifts.tech/design/fonts/magistral-cond-medium.woff	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/design/fonts/magistral-cond-medium.16.delayed	(from https://cosmicdrifts.tech/)
11:41:36	58180/58180	---M--	200	added ('OK')	font/woff2	date:Fri,%2015%20Apr%202022%2008:41:38%20GMT	https://cosmicdrifts.tech/design/fonts/magistral-cond-bold.woff2	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/design/fonts/magistral-cond-bold.woff2	(from https://cosmicdrifts.tech/)
11:41:37	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:38%20GMT	https://cosmicdrifts.tech/design/fonts/magistral-cond-bold.woff	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/design/fonts/magistral-cond-bold.18.delayed	(from https://cosmicdrifts.tech/)
11:41:37	57976/57976	---M--	200	added ('OK')	font/woff2	date:Fri,%2015%20Apr%202022%2008:41:39%20GMT	https://cosmicdrifts.tech/design/fonts/magistral-cond-extra-bold.woff2	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/design/fonts/magistral-cond-extra-bold.woff2	(from https://cosmicdrifts.tech/)
